1232087464 1 13JAN2004
1232092527 1 13JAN2004
1232161564 1 23JAN2004
1232173841 3 25JAN2004
1232217725 2 01FEB2004
1232240447 1 05FEB2004
1232241009 3 05FEB2004
1232307056 1 15FEB2004
1232311932 1 15FEB2004
1232331499 2 18FEB2004
1232373481 2 25FEB2004
1232410925 3 02MAR2004
1232455720 1 09MAR2004
1232517885 3 19MAR2004
1232530384 3 20MAR2004
1232530393 1 20MAR2004
1232554759 1 24MAR2004
1232590052 1 30MAR2004
1232601472 2 31MAR2004
1232618023 2 03APR2004
1232648239 1 07APR2004
1232654929 3 08APR2004
1232672914 3 11APR2004
1232698281 3 15APR2004
1232709099 1 16APR2004
1232709115 1 16APR2004
1232723799 3 19APR2004
1232728634 2 19APR2004
1232777080 1 27APR2004
1232790793 1 29APR2004
1232857157 2 08MAY2004
1232889267 2 13MAY2004
1232897220 1 14MAY2004
1232936635 2 20MAY2004
1232946301 2 22MAY2004
1232956741 3 23MAY2004
1232972274 1 26MAY2004
1232985693 1 28MAY2004
1232998740 1 29MAY2004
1233003688 1 30MAY2004
1233049735 3 06JUN2004
1233066745 1 09JUN2004
1233078086 1 10JUN2004
1233092596 1 12JUN2004
1233131266 1 18JUN2004
1233166411 1 24JUN2004
1233167161 2 24JUN2004
1233243603 1 05JUL2004
1233248920 2 06JUL2004
1233270605 1 09JUL2004
1233280857 3 11JUL2004
1233315988 1 16JUL2004
1233378724 2 26JUL2004
1233482761 1 10AUG2004
1233484749 3 10AUG2004
1233514453 3 15AUG2004
1233531965 1 18AUG2004
1233543560 3 19AUG2004
1233545775 1 20AUG2004
1233545781 1 20AUG2004
1233597637 2 27AUG2004
1233618453 1 31AUG2004
1233682051 2 09SEP2004
1233689304 1 10SEP2004
1233837302 1 03OCT2004
1233895201 2 12OCT2004
1233913196 2 14OCT2004
1233920786 1 15OCT2004
1233920795 1 15OCT2004
1233920805 1 15OCT2004
1233998114 2 27OCT2004
1234033037 1 01NOV2004
1234092222 1 10NOV2004
1234133789 1 17NOV2004
1234186330 1 25NOV2004
1234198497 1 26NOV2004
1234235150 2 02DEC2004
1234247283 1 03DEC2004
1234255111 1 04DEC2004
1234279341 2 08DEC2004
1234301319 1 11DEC2004
1234323012 3 15DEC2004
1234348668 1 18DEC2004
1234360543 1 20DEC2004
1234373539 1 22DEC2004
1234414529 1 29DEC2004
1234419240 1 29DEC2004
